arr_num,arr_insee,arr_libelle,nom_etablissement
20,75120,20ème Ardt,EUGENE REISZ (4) ELEM
13,75113,13ème Ardt,FRANC NOHAIN (9) POLY
13,75113,13ème Ardt,LOUISE BOURGEOIS (19) POLY
15,75115,15ème Ardt,MADEMOISELLE (81) ELEM
17,75117,17ème Ardt,M. ROSTROPOVITCH (34) POLY
5,75105,5ème Ardt,ST JACQUES (250 B) ELEM
11,75111,11ème Ardt,ST MAUR (22) ELEM A
4,75104,4ème Ardt,TOURNELLES (21) POLY
10,75110,10ème Ardt,HOPITAL ST LOUIS(5) ELEM
13,75113,13ème Ardt,VANDREZANNE (40) POLY
7,75107,7ème Ardt,DUQUESNE (42) ELEM
15,75115,15ème Ardt,OLIVIER DE SERRES (27) ELEM
5,75105,5ème Ardt,VICTOR COUSIN (14) ELEM
10,75110,10ème Ardt,CHABROL (41) ELEM
19,75119,19ème Ardt,OURCQ (105B) ELEM A
17,75117,17ème Ardt,POUCHET (42) ELEM
15,75115,15ème Ardt,VIGEE LEBRUN (17) ELEM A
20,75120,20ème Ardt,LESSEPS (9) ELEM B
5,75105,5ème Ardt,VICTOR COUSIN (14) POLY
13,75113,13ème Ardt,CHAT.DES RENTIERS (31-37) ELEM
4,75104,4ème Ardt,ST LOUIS EN L'ILE (21) ELEM
2,75102,2ème Ardt,LOUVOIS (6) POLY
10,75110,10ème Ardt,HOPITAL ST LOUIS (5) ELEM
17,75117,17ème Ardt,JACQUES KELLNER (5) ELEM
3,75103,3ème Ardt,QUATRE FILS (10 B) ELEM - DANIEL CORDIER
10,75110,10ème Ardt,ST MAUR (200) ELEM
20,75120,20ème Ardt,PYRENEES (291) ELEM B
17,75117,17ème Ardt,EPINETTES (42) ELEM
14,75114,14ème Ardt,SEVERO (12) POLY
5,75105,5ème Ardt,ROLLIN (10) ELEM
18,75118,18ème Ardt,EVANGILE (33) ELEM
5,75105,5ème Ardt,ST JACQUES (28) ELEM - ÉLIE BUZYN
9,75109,9ème Ardt,BLANCHE (9) ELEM
4,75104,4ème Ardt,HOSPITALIER ST GERVAIS (10) POLY
16,75116,16ème Ardt,CHERNOVIZ (8) ELEM
9,75109,9ème Ardt,BRUXELLES (32) ELEM
18,75118,18ème Ardt,FERNAND LABORI (19) POLY
4,75104,4ème Ardt,MOUSSY (9) ELEM
14,75114,14ème Ardt,ALAIN FOURNIER ( 5) ELEM
2,75102,2ème Ardt,ETIENNE MARCEL (20) POLY
17,75117,17ème Ardt,M ROSTROPOVITCH (34) POLY
5,75105,5ème Ardt,ST JACQUES (250 B) ELEM - ÉLIE BUZYN
